"Series number,""Start time"",""End time"",""Answer duration"",""User ID"",""WeChat ID"",""User-defined field"",""1.Age"",""2.Gender"",""3.Education"",""3.Education (Other)"",""4.Country"",""4.Country (Other)"",""5.Work"",""5.Work (Other)"",""6.FR concept"",""7.sources: prinnt media "",""7.sources: Internet"",""7.sources: scientific paper"",""7.sources: conversations"",""7.sources: class"",""7.sources: (Other)"",""7.sources: (Other)"",""8.unlock: Swipe"",""8.unlock: Passwords"",""8.unlock: Pattern"",""8.unlock: Finger prints"",""8.unlock: FaceID"",""8.unlock: Nothing"",""8.unlock: (Other)"",""8.unlock: (Other)"",""9.Use FaceID"",""9.Use FaceID (Other)"",""10.Not use FaceID (Other)"",""11.FR using status"",""12.Opinions of statement"",""13.Attitudes of statement"",""14.(1)Policing investigation"",""14.(2) Daily policing"",""14.(3) Smartphone"",""14.(4) Airport"",""14.(5) Supermarket: buy alcohol"",""14.(6) Supermarket: track shopper "",""14.(7) School: student attendance"",""14.(8) School: student behaviour"",""14.(10) Public transport: ticket barriers"",""14.(11) Public transport: indentify people for police"",""14.(12) At work: high risk area"",""14.(13) At work: monitor people"",""14.(14) Massive events"",""14.(15) Apartment building"",""15.Attitudes for police using FRT"",""16.Opinions for police using FR"",""17.Agree: society"",""17.Agree: personal security"",""17.Agree: security system"",""17.Agree: opt out or consent"",""17.Agree: ethical"",""17.Agree: not misused or hacked"",""17.Agree: indiscriminate"",""17.Agree: accurate"",""17.Agree: reliable"",""17.Agree: no effect"",""17.Agree: I do not know"",""17.Agree: none"",""17.Agree: (Other)"",""17.Agree: (Other)"",""18.Disagree: privacy"",""18.Disagree: normalization"",""18.Disagree: no opt out or consent"",""18.Disagree: not ethical"",""18.Disagree: personal privacy"",""18.Disagree: misused or hacked"",""18.Disagree: discriminate"",""18.Disagree: not accurate"",""18.Disagree: not reliable"",""18.Disagree: personal effect"",""18.Disagree: I do not know"",""18.Disagree: none"",""18.Disagree: (Other)"",""18.Disagree: (Other)"",""19.Feel safer"",""20.Identify criminals"",""21.Prevent crimes"",""22.Deter terrorists"",""23.Crime evidence"",""24.No notifying"",""25.Attitudes now"",""26.Future"",""27.Comments"","
"11,""23-Oct-2019 23:52:19"",""23-Oct-2019 23:58:18"",""359"","""",""o86_0jvHAYlicwhtQrGqmU-ahjyk___我在天涯 眺望 你在海角"","""",""1"",""2"",""4"","""",""3"","""",""8"","""",""2"","""",""1"","""","""","""",""1"","""","""",""1"","""","""","""","""","""","""",""5"","""",""3"","""",""4"",""1"",""3"",""1"",""2"",""3"",""1"",""3"",""4"",""4"",""4"",""2"",""1"",""2"",""5"",""1"",""1"",""3"",""3"",""1"","""","""","""","""","""","""","""","""",""1"","""","""","""","""",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""",""3"",""1"",""3"",""3"",""2"",""2"",""2"",""2"",""无"","
"12,""24-Oct-2019 08:46:48"",""24-Oct-2019 08:50:59"",""251"","""",""o86_0jpQjHNfUx6T0iXDXFvFV4ks___*^_^*霞"","""",""1"",""2"",""3"","""",""3"","""",""8"","""",""2"","""",""1"","""","""","""","""","""","""","""","""","""",""1"","""","""","""",""4"","""",""7"","""",""2"",""2"",""3"",""2"",""3"",""2"",""4"",""4"",""4"",""4"",""4"",""2"",""3"",""2"",""5"",""2"",""2"",""2"",""2"","""","""",""1"","""","""","""","""","""",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""",""1"",""2"",""2"",""2"",""2"",""3"",""2"",""3"",""使用这个技术，得分情况"","
"13,""24-Oct-2019 09:14:51"",""24-Oct-2019 09:18:57"",""246"","""",""o86_0jrsR7bBsGZHuqt1FgV-eySg___Autism°"","""",""1"",""2"",""3"","""",""3"","""",""8"","""",""2"","""",""1"","""","""","""","""","""","""","""","""",""1"","""","""","""","""",""6"","""",""6"","""",""4"",""2"",""3"",""2"",""2"",""3"",""3"",""4"",""3"",""3"",""3"",""4"",""2"",""3"",""3"",""3"",""4"",""2"",""2"",""1"",""1"",""1"","""",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""","""",""3"",""2"",""2"",""2"",""2"",""3"",""3"",""2"",""。"","
"14,""24-Oct-2019 16:19:03"",""24-Oct-2019 16:20:41"",""98"","""",""o86_0jiZNCvnPzLU66Q9rnvRbBuk___Fairy_"","""",""2"",""2"",""2"","""",""2"","""",""9"","""",""2"","""","""",""1"","""","""","""","""","""","""",""1"","""","""","""","""","""",""3"","""",""6"","""",""3"",""3"",""3"",""3"",""2"",""1"",""3"",""2"",""1"",""1"",""2"",""1"",""3"",""3"",""3"",""3"",""3"",""3"",""3"","""","""",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""","""","""","""","""","""","""","""","""","""",""2"",""3"",""3"",""2"",""4"",""2"",""1"",""3"",""无"","
"15,""24-Oct-2019 16:18:56"",""24-Oct-2019 16:20:48"",""112"","""",""o86_0jrXhZl_FyIk59QdoqyT8-EU___."","""",""1"",""1"",""5"","""",""4"","""",""9"","""",""3"","""",""1"","""","""",""1"","""","""",""1"",""1"","""","""","""","""","""","""",""1"","""",""2"","""",""1"",""3"",""3"",""5"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"","""","""","""","""","""",""1"",""1"","""","""","""","""","""","""",""1"",""1"",""1"","""","""","""","""","""","""","""","""","""","""","""",""3"",""4"",""3"",""3"",""2"",""1"",""2"",""3"",""无"","
"16,""24-Oct-2019 16:39:20"",""24-Oct-2019 16:53:02"",""822"","""",""o86_0jqWBS1oBtXrK1O2MfpaWEQ4___Z????"","""",""2"",""2"",""1"","""",""3"","""",""10"","""",""4"","""",""1"","""",""1"","""",""1"","""","""","""",""1"",""1"","""","""","""","""",""6"","""",""2"","""",""2"",""3"",""5"",""1"",""2"",""4"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""4"",""1"",""1"",""3"",""2"","""","""",""1"","""",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""",""1"","""","""","""","""","""","""",""2"",""2"",""4"",""4"",""2"",""4"",""2"",""2"",""人脸识别技术有时候也不太安全，有时在手机上照片就能解开"","
"17,""24-Oct-2019 16:55:03"",""24-Oct-2019 16:56:29"",""86"","""",""o86_0jlQuwd3kxjNxFmXyw1q6XKo___安吉丽娜.-"","""",""1"",""2"",""3"","""",""3"","""",""13"","""",""1"",""1"","""","""","""","""","""","""",""1"","""","""","""","""","""","""","""",""1"","""",""1"","""",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""11111"","
"18,""24-Oct-2019 17:00:28"",""24-Oct-2019 17:08:21"",""473"","""",""o86_0jt0rYaxLMK7gifNJ8MFyD5c___纯手工口红"","""",""2"",""2"",""1"","""",""3"","""",""10"","""",""2"","""",""1"","""",""1"","""","""","""",""1"",""1"",""1"",""1"","""","""","""","""",""4"","""",""2"","""",""4"",""1"",""2"",""1"",""1"",""3"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""3"",""1"",""2"",""1"",""1"",""1"","""",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""","""","""","""",""1"",""1"",""1"",""1"",""1"",""3"",""1"",""1"",""希望人脸识别技术能广泛的应用起来"","
"19,""24-Oct-2019 16:58:08"",""24-Oct-2019 17:11:26"",""798"","""",""o86_0jkqol3ONHFkE7V-6QC53wUw___蓟县清洗热水器，地暖，暖气片"","""",""2"",""2"",""2"","""",""3"","""",""10"","""",""2"","""",""1"","""",""1"","""","""","""","""",""1"",""1"",""1"","""","""","""","""",""2"","""",""3"","""",""2"",""3"",""3"",""2"",""3"",""2"",""2"",""3"",""3"",""2"",""2"",""2"",""2"",""2"",""3"",""2"",""2"",""2"",""2"",""1"","""",""1"","""","""",""1"",""1"","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""",""1"","""","""","""","""","""","""",""3"",""2"",""2"",""2"",""2"",""3"",""2"",""2"",""人脸识别技术以后会被广泛使用的。"","
"20,""24-Oct-2019 17:03:42"",""24-Oct-2019 17:12:26"",""524"","""",""o86_0jjG9V7RuJ21sqBJ1npxH__M___都一样???? ????"","""",""2"",""2"",""1"","""",""3"","""",""12"","""",""2"","""",""1"","""",""1"","""","""","""","""",""1"",""1"",""1"","""","""","""","""",""3"","""",""4"","""",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""4"",""2"",""2"",""1"",""1"",""1"",""1"",""1"","""",""1"",""1"",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""",""1"",""1"",""1"",""1"",""1"",""2"",""2"",""1"",""只要是对大家好的，我都支持"","
