"Series number,""Start time"",""End time"",""Answer duration"",""User ID"",""WeChat ID"",""User-defined field"",""1.Age"",""2.Gender"",""3.Education"",""3.Education (Other)"",""4.Country"",""4.Country (Other)"",""5.Work"",""5.Work (Other)"",""6.FR concept"",""7.sources: prinnt media "",""7.sources: Internet"",""7.sources: scientific paper"",""7.sources: conversations"",""7.sources: class"",""7.sources: (Other)"",""7.sources: (Other)"",""8.unlock: Swipe"",""8.unlock: Passwords"",""8.unlock: Pattern"",""8.unlock: Finger prints"",""8.unlock: FaceID"",""8.unlock: Nothing"",""8.unlock: (Other)"",""8.unlock: (Other)"",""9.Use FaceID"",""9.Use FaceID (Other)"",""10.Not use FaceID (Other)"",""11.FR using status"",""12.Opinions of statement"",""13.Attitudes of statement"",""14.(1)Policing investigation"",""14.(2) Daily policing"",""14.(3) Smartphone"",""14.(4) Airport"",""14.(5) Supermarket: buy alcohol"",""14.(6) Supermarket: track shopper "",""14.(7) School: student attendance"",""14.(8) School: student behaviour"",""14.(10) Public transport: ticket barriers"",""14.(11) Public transport: indentify people for police"",""14.(12) At work: high risk area"",""14.(13) At work: monitor people"",""14.(14) Massive events"",""14.(15) Apartment building"",""15.Attitudes for police using FRT"",""16.Opinions for police using FR"",""17.Agree: society"",""17.Agree: personal security"",""17.Agree: security system"",""17.Agree: opt out or consent"",""17.Agree: ethical"",""17.Agree: not misused or hacked"",""17.Agree: indiscriminate"",""17.Agree: accurate"",""17.Agree: reliable"",""17.Agree: no effect"",""17.Agree: I do not know"",""17.Agree: none"",""17.Agree: (Other)"",""17.Agree: (Other)"",""18.Disagree: privacy"",""18.Disagree: normalization"",""18.Disagree: no opt out or consent"",""18.Disagree: not ethical"",""18.Disagree: personal privacy"",""18.Disagree: misused or hacked"",""18.Disagree: discriminate"",""18.Disagree: not accurate"",""18.Disagree: not reliable"",""18.Disagree: personal effect"",""18.Disagree: I do not know"",""18.Disagree: none"",""18.Disagree: (Other)"",""18.Disagree: (Other)"",""19.Feel safer"",""20.Identify criminals"",""21.Prevent crimes"",""22.Deter terrorists"",""23.Crime evidence"",""24.No notifying"",""25.Attitudes now"",""26.Future"",""27.Comments"","
"31,""24-Oct-2019 17:46:46"",""24-Oct-2019 17:53:08"",""382"","""",""o86_0juEZ9D1TCHPyL58n__RF3_Y___????Lu????"","""",""2"",""2"",""3"","""",""3"","""",""2"","""",""2"","""",""1"","""","""","""","""","""","""","""","""","""",""1"","""","""","""",""3"","""",""4"","""",""3"",""2"",""3"",""2"",""4"",""2"",""2"",""2"",""2"",""2"",""3"",""2"",""3"",""3"",""3"",""3"",""2"",""3"",""2"","""",""1"",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""",""1"",""1"","""","""","""","""","""",""3"",""2"",""3"",""3"",""2"",""3"",""2"",""2"",""可以加强对人脸识别的技术含量"","
"32,""24-Oct-2019 17:58:26"",""24-Oct-2019 18:05:35"",""429"","""",""o86_0jhU0c9_PfJZUi2amtH1tsJE___风中野百合"","""",""3"",""2"",""2"","""",""3"","""",""5"","""",""2"","""","""","""","""","""",""1"","""","""","""","""",""1"","""","""","""","""",""3"","""",""8"","""",""3"",""2"",""2"",""1"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""3"",""2"","""",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""","""",""1"","""","""","""","""","""","""","""","""",""1"",""1"",""1"",""1"",""2"",""2"",""1"",""2"",""同意"","
"33,""24-Oct-2019 18:05:22"",""24-Oct-2019 18:09:37"",""255"","""",""o86_0juZUBa55GbvD_bjuR4TBQNw___Pandant.Me"","""",""1"",""1"",""4"","""",""3"","""",""13"",""设计"",""2"",""1"",""1"","""",""1"","""","""","""","""",""1"","""","""",""1"","""","""","""",""1"","""",""6"","""",""2"",""2"",""3"",""1"",""2"",""1"",""2"",""3"",""3"",""5"",""5"",""3"",""3"",""3"",""5"",""4"",""4"",""2"",""2"",""1"","""","""","""",""1"","""","""","""","""","""","""","""","""","""","""",""1"",""1"","""","""",""1"","""","""","""","""","""","""","""","""",""3"",""2"",""1"",""2"",""3"",""1"",""2"",""2"",""n/a"","
"34,""24-Oct-2019 18:04:43"",""24-Oct-2019 18:16:15"",""692"","""",""o86_0jhF-AfgQWcy3D7_8cfwvfOw___幸福小女人"","""",""2"",""2"",""1"","""",""3"","""",""10"","""",""4"","""",""1"","""","""","""","""","""","""",""1"",""1"",""1"","""","""","""","""",""1"","""",""6"","""",""4"",""3"",""4"",""2"",""3"",""3"",""3"",""3"",""3"",""2"",""2"",""3"",""2"",""3"",""3"",""2"",""2"",""4"",""3"",""1"","""",""1"","""","""",""1"","""","""","""","""","""","""","""","""","""","""","""",""1"","""",""1"","""","""","""","""","""","""","""","""",""3"",""3"",""3"",""3"",""2"",""3"",""3"",""3"",""不同意，也不反对"","
"35,""24-Oct-2019 18:05:29"",""24-Oct-2019 18:19:37"",""848"","""",""o86_0jugEOKk3HbN8Qby-jBKwbjU___不要跟我搞缓兵之策昂"","""",""1"",""2"",""1"","""",""3"","""",""10"","""",""2"","""",""1"","""","""","""","""","""","""",""1"","""","""","""","""","""","""",""7"","""",""1"","""",""2"",""1"",""1"",""1"",""3"",""3"",""1"",""2"",""5"",""2"",""5"",""3"",""1"",""1"",""5"",""1"",""2"",""3"",""2"",""1"",""1"",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""",""1"",""1"","""","""","""","""","""","""","""",""3"",""2"",""1"",""2"",""2"",""2"",""2"",""3"",""主要考虑是否会有不法分子利用这个技术侵犯隐私。利弊皆有，所以保持中立。"","
"36,""24-Oct-2019 18:36:36"",""24-Oct-2019 18:43:08"",""392"","""",""o86_0jgEbZuURUD5q5VEUpbyZKvI___我说悠悠啊"","""",""2"",""1"",""3"","""",""3"","""",""1"","""",""1"",""1"",""1"",""1"",""1"","""",""1"","""","""","""","""","""",""1"","""","""","""",""4"","""",""3"","""",""2"",""1"",""3"",""2"",""2"",""2"",""2"",""4"",""5"",""4"",""5"",""2"",""2"",""2"",""5"",""2"",""5"",""2"",""2"",""1"",""1"",""1"",""1"",""1"","""","""","""","""","""","""","""","""","""","""",""1"","""",""1"","""",""1"","""","""","""","""","""","""","""","""",""1"",""5"",""4"",""2"",""4"",""3"",""3"",""3"",""技术进步是几何级的，面部识别都快过期了"","
"37,""24-Oct-2019 18:58:26"",""24-Oct-2019 19:03:24"",""298"",""1317500312"","""","""",""1"",""2"",""3"","""",""3"","""",""6"","""",""2"","""",""1"","""","""",""1"","""","""","""",""1"","""",""1"","""","""","""","""",""3"","""",""3"","""",""3"",""2"",""3"",""2"",""3"",""3"",""3"",""4"",""4"",""3"",""5"",""3"",""1"",""3"",""3"",""2"",""4"",""3"",""3"","""",""1"","""","""","""",""1"","""","""","""",""1"","""","""","""","""",""1"","""","""",""1"","""","""",""1"","""","""","""","""","""","""","""",""1"",""2"",""3"",""2"",""3"",""2"",""2"",""2"",""我就是怕我睡觉的时候别人拿我手机用人脸技术开机"","
"38,""24-Oct-2019 19:02:44"",""24-Oct-2019 19:07:57"",""313"",""1791694884"","""","""",""1"",""2"",""3"","""",""3"","""",""5"","""",""2"","""",""1"","""","""","""","""","""","""","""","""",""1"","""","""","""","""",""4"","""",""6"","""",""2"",""3"",""3"",""1"",""2"",""2"",""2"",""3"",""3"",""2"",""3"",""2"",""2"",""2"",""3"",""2"",""2"",""3"",""2"","""","""",""1"","""","""","""","""","""","""",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""","""",""3"",""3"",""3"",""3"",""2"",""3"",""3"",""3"",""时代发展潮流吧"","
"39,""24-Oct-2019 19:00:41"",""24-Oct-2019 19:11:10"",""629"","""",""o86_0jtZOXz5BwS9KcTLTm13ySr0___*那¤小¤谁*"","""",""2"",""2"",""1"","""",""3"","""",""10"","""",""2"","""",""1"","""",""1"","""","""","""","""",""1"",""1"",""1"",""1"","""","""","""",""3"","""",""8"","""",""3"",""3"",""2"",""3"",""3"",""2"",""3"",""3"",""5"",""2"",""4"",""3"",""3"",""3"",""4"",""4"",""2"",""5"",""3"","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""",""1"","""","""","""",""1"",""1"","""","""","""",""1"","""","""","""","""",""3"",""3"",""3"",""3"",""3"",""3"",""4"",""3"",""在不影响个人隐私权情况下，可以使用"","
"40,""24-Oct-2019 19:07:14"",""24-Oct-2019 19:14:23"",""429"","""",""o86_0jsD0LlrIVhoN4HN9T_iMh28___王小知"","""",""1"",""1"",""3"","""",""3"","""",""13"",""营销策划"",""1"",""1"",""1"","""",""1"","""","""","""",""1"",""1"","""",""1"",""1"","""","""","""",""3"","""",""7"","""",""1"",""1"",""3"",""1"",""2"",""2"",""1"",""1"",""3"",""1"",""3"",""1"",""1"",""1"",""4"",""1"",""1"",""1"",""1"",""1"",""1"",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""",""1"",""1"",""1"",""1"",""1"",""3"",""2"",""1"",""希望相关部门用此技术要告知群众。公众有知情权"","
"41,""24-Oct-2019 19:28:37"",""24-Oct-2019 19:33:35"",""298"","""",""o86_0jmVpmTyyZkcbzZo8OOqUxnI___小七妈"","""",""1"",""2"",""1"","""",""3"","""",""6"","""",""4"","""",""1"","""","""","""","""","""",""1"","""","""","""","""","""","""","""",""3"","""",""4"","""",""2"",""2"",""2"",""1"",""2"",""3"",""1"",""3"",""3"",""2"",""3"",""2"",""1"",""2"",""3"",""2"",""4"",""2"",""3"",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""","""","""","""","""","""","""","""","""","""",""1"","""",""1"",""2"",""3"",""2"",""1"",""3"",""3"",""3"",""很好"","
"42,""24-Oct-2019 19:32:20"",""24-Oct-2019 19:37:17"",""297"","""",""o86_0jrW6wN9SXurIPXhCtKjMrdM___时光无声"","""",""3"",""2"",""1"","""",""3"","""",""10"","""",""2"","""",""1"","""","""","""","""","""","""",""1"","""","""","""","""","""","""",""4"","""",""3"","""",""5"",""3"",""3"",""4"",""4"",""2"",""2"",""4"",""4"",""2"",""2"",""2"",""2"",""2"",""2"",""4"",""2"",""2"",""3"",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""","""","""","""","""","""","""","""","""","""","""",""2"",""4"",""3"",""3"",""3"",""2"",""2"",""3"",""让更多的人了解联识别的好处"","
"43,""24-Oct-2019 20:58:04"",""24-Oct-2019 21:05:31"",""447"","""",""o86_0juTCsI2JnAcsqIBXnNG5_Hs___雨村小喽啰"","""",""1"",""2"",""3"","""",""3"","""",""8"","""",""2"","""",""1"","""","""","""","""","""","""","""","""","""",""1"","""","""","""",""4"","""",""7"","""",""4"",""2"",""4"",""1"",""2"",""2"",""2"",""2"",""4"",""2"",""4"",""2"",""1"",""2"",""2"",""2"",""2"",""1"",""1"",""1"",""1"",""1"","""",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""",""3"",""2"",""2"",""2"",""2"",""3"",""2"",""2"",""。"","
"44,""24-Oct-2019 21:06:47"",""24-Oct-2019 21:11:02"",""255"","""",""o86_0jrJUeeypIOpvRz1t0oWd-0Q___姒堇"","""",""1"",""2"",""3"","""",""3"","""",""8"","""",""1"","""","""","""","""","""",""1"","""","""","""","""","""",""1"","""",""1"",""单位医保一直在用"",""4"","""",""7"","""",""1"",""1"",""1"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"","""",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""","""",""1"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""赞成启用人脸识别功能"","
"45,""24-Oct-2019 21:07:20"",""24-Oct-2019 21:12:48"",""328"","""",""o86_0jvlwPaEmN1lNd8Mtqk1MDuU___Agony."","""",""1"",""1"",""3"","""",""3"","""",""6"","""",""2"","""",""1"","""","""","""","""","""","""","""","""","""",""1"","""","""","""",""4"","""",""7"","""",""2"",""2"",""3"",""2"",""3"",""2"",""2"",""3"",""4"",""2"",""2"",""3"",""2"",""3"",""4"",""3"",""3"",""3"",""2"",""1"","""","""",""1"","""","""",""1"","""","""",""1"","""","""","""","""","""",""1"","""","""","""",""1"","""","""","""","""","""","""","""","""",""1"",""2"",""3"",""3"",""3"",""3"",""3"",""2"",""人脸识别有利有弊，看怎么应用。"","
"46,""24-Oct-2019 22:25:43"",""24-Oct-2019 22:29:00"",""197"","""",""o86_0jvcZ1DSPdVdruKnXcHx3u7g___like"","""",""1"",""2"",""3"","""",""3"","""",""3"","""",""2"","""",""1"","""","""","""","""","""","""","""","""","""",""1"","""","""","""",""2"","""",""4"","""",""2"",""1"",""4"",""1"",""1"",""2"",""3"",""3"",""3"",""5"",""5"",""2"",""2"",""2"",""2"",""2"",""2"",""3"",""3"","""","""",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""","""","""",""3"",""3"",""3"",""3"",""3"",""2"",""2"",""3"",""无"","
"47,""24-Oct-2019 22:29:33"",""24-Oct-2019 22:37:22"",""469"","""",""o86_0jo9LkszhnSaZr_CLxD7j_aE___Henry"","""",""1"",""1"",""3"","""",""5"",""挪威"",""5"","""",""2"","""",""1"","""",""1"","""","""","""","""",""1"","""",""1"","""","""","""","""",""7"","""",""4"","""",""4"",""1"",""4"",""1"",""3"",""3"",""1"",""1"",""5"",""4"",""4"",""4"",""2"",""1"",""5"",""3"",""3"",""3"",""3"",""1"","""","""","""",""1"","""","""","""","""","""","""","""","""","""",""1"",""1"","""","""","""","""","""","""","""","""","""","""","""","""",""2"",""3"",""4"",""4"",""3"",""1"",""3"",""2"",""没有想分享的"","
"48,""25-Oct-2019 00:05:36"",""25-Oct-2019 00:09:23"",""227"",""2336210042"","""","""",""1"",""2"",""3"","""",""3"","""",""3"","""",""2"",""1"",""1"","""","""",""1"","""","""",""1"",""1"","""",""1"","""","""","""","""",""4"","""",""7"","""",""4"",""1"",""2"",""3"",""3"",""3"",""1"",""3"",""3"",""2"",""3"",""4"",""4"",""4"",""4"",""4"",""4"",""3"",""2"",""1"","""",""1"","""",""1"","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""","""","""","""","""","""",""1"","""","""","""",""3"",""3"",""3"",""3"",""3"",""3"",""3"",""2"",""人脸识别方便生活"","
"49,""25-Oct-2019 00:07:14"",""25-Oct-2019 00:10:46"",""212"",""1575045693"","""","""",""1"",""2"",""3"","""",""3"","""",""5"","""",""2"",""1"",""1"",""1"","""","""","""","""",""1"",""1"",""1"",""1"",""1"","""","""","""",""4"","""",""7"","""",""4"",""3"",""3"",""1"",""2"",""1"",""2"",""1"",""2"",""5"",""5"",""1"",""1"",""3"",""1"",""1"",""1"",""3"",""2"","""",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"","""","""","""","""","""",""1"","""","""","""","""","""",""1"",""1"",""1"","""","""","""","""","""",""1"",""2"",""2"",""2"",""2"",""3"",""4"",""3"",""人脸识别还是存在弊端，譬如，整容成一张脸能不能识别成功？"","
"50,""25-Oct-2019 00:09:24"",""25-Oct-2019 00:13:46"",""262"",""1051419074"","""","""",""1"",""2"",""1"","""",""3"","""",""10"","""",""4"","""",""1"","""","""","""","""","""","""",""1"","""","""","""","""","""","""",""4"","""",""3"","""",""3"",""1"",""1"",""1"",""1"",""3"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""2"",""2"",""1"",""1"",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""","""","""","""","""","""","""",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""支持"","
"51,""25-Oct-2019 00:07:39"",""25-Oct-2019 00:14:39"",""420"",""653266947"","""","""",""3"",""1"",""4"","""",""3"","""",""4"","""",""2"","""",""1"","""","""","""","""","""",""1"",""1"","""",""1"","""","""","""","""",""2"","""",""7"","""",""2"",""2"",""3"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""2"",""1"",""1"",""1"",""1"",""1"",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""",""1"",""1"",""1"",""1"",""1"",""2"",""1"",""1"",""尽快实用"","
"52,""25-Oct-2019 00:06:24"",""25-Oct-2019 00:14:48"",""504"",""2079712120"","""","""",""1"",""2"",""3"","""",""3"","""",""3"","""",""2"",""1"",""1"","""",""1"",""1"",""1"","""","""",""1"","""",""1"","""","""","""","""",""5"","""",""8"","""",""2"",""2"",""3"",""2"",""3"",""2"",""2"",""3"",""4"",""3"",""3"",""2"",""3"",""3"",""4"",""3"",""3"",""2"",""2"",""1"","""",""1"","""",""1"","""","""",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""",""3"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""有利有弊，大势所趋"","
"53,""25-Oct-2019 00:15:29"",""25-Oct-2019 00:19:00"",""211"",""1430125397"","""","""",""1"",""2"",""4"","""",""3"","""",""5"","""",""2"","""",""1"",""1"","""","""","""","""","""",""1"","""",""1"","""","""","""","""",""3"","""",""3"","""",""3"",""2"",""3"",""2"",""3"",""2"",""2"",""3"",""4"",""3"",""3"",""3"",""2"",""3"",""4"",""3"",""3"",""2"",""2"",""1"",""1"",""1"","""","""","""","""","""","""","""","""","""","""","""","""",""1"",""1"","""","""","""","""","""","""","""","""","""","""","""",""2"",""2"",""2"",""2"",""2"",""4"",""2"",""2"",""安全，可靠，方便"","
"54,""25-Oct-2019 00:38:33"",""25-Oct-2019 00:40:08"",""95"",""295410469"","""","""",""1"",""2"",""3"","""",""3"","""",""5"","""",""3"","""",""1"","""","""","""","""","""",""1"",""1"",""1"",""1"","""","""","""","""",""3"","""",""6"","""",""4"",""3"",""1"",""2"",""1"",""3"",""1"",""3"",""3"",""5"",""4"",""3"",""5"",""3"",""5"",""5"",""1"",""3"",""1"","""",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""","""","""","""",""2"",""2"",""4"",""2"",""4"",""3"",""2"",""2"",""无"","
"55,""25-Oct-2019 00:50:01"",""25-Oct-2019 00:52:01"",""120"",""2862527913"","""","""",""1"",""3"",""3"","""",""3"","""",""2"","""",""3"",""1"","""","""","""","""","""","""","""","""","""",""1"",""1"","""","""","""",""3"","""",""6"","""",""2"",""3"",""3"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""2"",""2"",""1"",""1"",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""",""1"",""2"",""3"",""3"",""3"",""3"",""2"",""2"",""无"","
"56,""25-Oct-2019 01:24:41"",""25-Oct-2019 01:30:13"",""332"",""1220302989"","""","""",""1"",""2"",""3"","""",""3"","""",""8"","""",""4"","""",""1"","""","""","""","""","""","""","""","""",""1"",""1"","""","""","""",""2"","""",""7"","""",""4"",""2"",""2"",""2"",""2"",""2"",""1"",""1"",""2"",""2"",""3"",""2"",""2"",""1"",""2"",""2"",""2"",""2"",""2"",""1"","""","""","""","""",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""","""",""3"",""2"",""3"",""2"",""2"",""3"",""2"",""2"",""没有太大的想法，"","
"57,""25-Oct-2019 01:40:58"",""25-Oct-2019 01:47:12"",""374"",""1559926770"","""","""",""1"",""2"",""3"","""",""3"","""",""5"","""",""2"","""",""1"","""",""1"",""1"","""","""","""",""1"","""",""1"",""1"","""","""","""",""4"","""",""3"","""",""2"",""1"",""3"",""2"",""2"",""3"",""2"",""2"",""2"",""3"",""3"",""2"",""2"",""2"",""3"",""3"",""3"",""3"",""2"","""","""",""1"","""",""1"","""",""1"","""","""",""1"","""","""","""","""",""1"","""",""1"","""","""",""1"","""",""1"",""1"","""","""","""","""","""",""1"",""1"",""2"",""3"",""2"",""2"",""2"",""2"",""人脸识别要是有眨眨眼扭扭头什么的动态验证会更安全，但是这样一来就又麻烦了"","
"58,""25-Oct-2019 02:51:07"",""25-Oct-2019 03:00:47"",""580"",""2297277916"","""","""",""1"",""2"",""3"","""",""3"","""",""10"","""",""2"","""",""1"",""1"",""1"",""1"","""","""","""",""1"","""","""",""1"","""","""","""",""6"","""",""1"","""",""4"",""1"",""4"",""1"",""1"",""3"",""1"",""1"",""1"",""3"",""3"",""2"",""1"",""1"",""1"",""1"",""1"",""2"",""1"",""1"",""1"",""1"","""","""","""","""","""","""","""","""","""","""","""",""1"",""1"",""1"",""1"","""","""","""","""","""","""","""","""","""","""",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""没有想法"","
"59,""25-Oct-2019 07:48:49"",""25-Oct-2019 07:54:38"",""349"",""2663527001"","""","""",""1"",""2"",""3"","""",""3"","""",""8"","""",""2"",""1"",""1"","""","""","""","""","""","""","""","""","""",""1"",""1"","""","""",""4"","""",""4"","""",""2"",""2"",""3"",""2"",""4"",""2"",""2"",""2"",""4"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""3"",""2"","""",""1"","""","""","""","""",""1"","""","""",""1"","""","""","""","""","""","""","""","""","""",""1"","""","""",""1"","""","""","""","""","""",""1"",""2"",""2"",""2"",""3"",""3"",""2"",""1"",""人脸识别技术要跟识别指纹一样独一无二才行，毕竟现在整容业这么厉害，如果只是简单识别，那些不法分子依旧可以通过整容逃脱"","
"60,""25-Oct-2019 07:26:44"",""25-Oct-2019 08:26:01"",""3557"",""1010723814"","""","""",""1"",""2"",""2"","""",""3"","""",""10"","""",""4"","""",""1"","""",""1"","""","""","""","""",""1"",""1"",""1"","""","""","""","""",""3"","""",""2"","""",""4"",""2"",""2"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""2"",""1"",""1"",""1"","""",""1"",""1"",""1"",""1"",""1"","""","""","""","""","""","""","""",""1"","""","""","""","""","""","""","""","""","""","""","""",""1"",""2"",""2"",""2"",""2"",""4"",""2"",""2"",""我觉得人脸识别技术可以被广泛使用"","
"61,""25-Oct-2019 10:34:44"",""25-Oct-2019 10:37:11"",""147"",""3172319823"","""","""",""1"",""2"",""3"","""",""3"","""",""13"",""设计"",""2"","""",""1"","""","""","""","""","""","""","""","""",""1"","""","""","""","""",""4"","""",""3"","""",""2"",""3"",""3"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""5"",""2"",""2"",""2"",""2"",""2"",""2"",""3"",""2"","""",""1"","""","""","""","""","""","""","""","""","""","""","""","""",""1"",""1"","""","""","""","""","""","""","""","""","""","""","""","""",""3"",""3"",""3"",""3"",""3"",""2"",""3"",""3"",""无"","
"62,""25-Oct-2019 10:43:19"",""25-Oct-2019 10:45:03"",""104"",""2369483369"","""","""",""1"",""2"",""2"","""",""3"","""",""12"","""",""2"","""","""","""",""1"","""","""","""","""",""1"","""","""","""","""","""","""",""1"","""",""6"","""",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"","""","""","""","""","""","""","""","""","""","""","""","""",""1"",""1"","""","""",""1"","""","""","""","""","""","""","""","""",""1"",""2"",""2"",""1"",""1"",""2"",""1"",""1"",""越来越强大~"","
"63,""25-Oct-2019 12:45:10"",""25-Oct-2019 12:48:14"",""184"",""2523670923"","""","""",""1"",""2"",""3"","""",""3"","""",""3"","""",""3"",""1"",""1"","""","""","""","""","""","""",""1"","""",""1"","""","""","""","""",""7"","""",""6"","""",""2"",""2"",""2"",""2"",""3"",""2"",""2"",""4"",""5"",""5"",""5"",""2"",""1"",""1"",""4"",""1"",""1"",""2"",""2"",""1"",""1"",""1"",""1"","""","""","""","""","""","""","""","""",""1"","""","""","""","""","""","""","""","""","""","""",""1"","""","""","""","""",""3"",""2"",""2"",""2"",""4"",""5"",""1"",""1"",""我不喜欢"","
"64,""25-Oct-2019 14:36:58"",""25-Oct-2019 14:42:19"",""321"","""",""o86_0jvvMpq_V-SBBo-GjjduZJ3g___刘津铭"","""",""2"",""1"",""1"","""",""3"","""",""10"","""",""4"","""",""1"","""",""1"",""1"","""","""","""","""","""","""",""1"","""","""","""",""3"","""",""7"","""",""2"",""3"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""非常好"","
"65,""25-Oct-2019 14:36:37"",""25-Oct-2019 14:44:53"",""496"","""",""o86_0jrw4MxhuMhVyGbE8hme4YOM___酒窝叫坑13821251966"","""",""3"",""1"",""2"","""",""3"","""",""2"","""",""2"",""1"","""","""","""","""","""","""","""",""1"",""1"","""",""1"","""","""","""",""3"","""",""6"","""",""2"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""2"",""1"","""",""1"","""","""","""","""",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""",""1"",""2"",""2"",""2"",""2"",""2"",""1"",""2"",""我同意人脸识别在各个领域实施"","
"66,""25-Oct-2019 14:37:26"",""25-Oct-2019 14:46:40"",""554"","""",""o86_0jrMeeDsOMsE9HnTBqXd5SG4___鹤妈????"","""",""2"",""2"",""3"","""",""3"","""",""10"","""",""2"","""",""1"","""","""","""","""","""","""",""1"","""",""1"",""1"","""","""","""",""3"","""",""4"","""",""2"",""2"",""2"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""2"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""","""",""1"",""1"",""1"",""1"",""1"",""3"",""2"",""1"",""人脸识别可用于正规的事情就可以。"","
"67,""25-Oct-2019 14:36:24"",""25-Oct-2019 14:47:59"",""695"","""",""o86_0joJfPLDg2Up3wg5iwEGDcKk___小柒"","""",""1"",""2"",""3"","""",""3"","""",""13"",""财务"",""2"","""",""1"","""",""1"","""","""","""","""",""1"","""",""1"","""","""","""","""",""5"","""",""1"","""",""4"",""1"",""3"",""2"",""4"",""2"",""2"",""1"",""2"",""1"",""2"",""2"",""1"",""2"",""3"",""2"",""2"",""2"",""2"",""1"","""",""1"","""",""1"","""",""1"",""1"",""1"","""","""","""","""","""","""",""1"","""","""","""","""","""",""1"","""","""","""","""","""","""",""1"",""1"",""1"",""1"",""2"",""3"",""2"",""2"",""人脸识别技术是未来发展的大趋势"","
"68,""25-Oct-2019 14:36:04"",""25-Oct-2019 14:50:58"",""894"","""",""o86_0jsI1cD4kagkckEZXpECOdas___大明"","""",""3"",""1"",""1"","""",""3"","""",""10"","""",""2"",""1"","""","""","""","""","""","""","""","""","""",""1"",""1"","""","""","""",""5"","""",""7"","""",""2"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""3"",""3"","""","""",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""","""","""","""","""","""","""","""","""",""1"",""2"",""2"",""2"",""2"",""3"",""2"",""2"",""没啥想法"","
